Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3,year_start,year_end,height,weight,birth_date,year_active,age_start,age_end,churn
A.C. Green,18,PF,MIA,1361,13.9,905,39044,0.5,3.4,2.4,5.8,-0.1,0.5,0.5,0.1,1986,2001,6-9,220,1963,16,23,38,0
A.J. English,2,SG,WSB,151,11.6,18,3108,0.5,-0.2,0.7,0.6,-5.1,0.4,0.5,0.1,1991,1992,6-3,175,1967,2,24,25,1
A.J. Guyton,3,PG,GSW,80,4.4,14,1246,0.3,0.1,-0.0,0.1,-11.0,0.3,0.3,0.3,2001,2003,6-1,180,1978,3,23,25,1
A.J. Hammons,1,C,DAL,22,8.4,0,163,0.5,-0.2,0.2,0.0,-5.6,0.4,0.4,0.5,2017,2017,7-0,260,1992,1,25,25,1
A.J. Price,9,PG,PHO,287,10.4,25,4253,0.4,0.1,0.4,0.6,-4.1,0.4,0.4,0.2,2010,2015,6-2,181,1986,6,24,29,0
A.J. Wynder,1,PG,BOS,6,7.6,0,39,0.4,-0.1,0.0,0.0,-9.4,0.2,0.3,0.0,1991,1991,6-2,180,1964,1,27,27,1
Aaron Brooks,15,PG,IND,797,12.3,226,17088,0.5,0.9,0.7,1.5,-2.6,0.4,0.4,0.4,2008,2018,6-0,161,1985,11,23,33,0
Aaron Gordon,3,SF,ORL,205,14.3,117,4958,0.5,1.8,1.5,3.4,-0.6,0.5,0.5,0.3,2015,2018,6-9,220,1995,4,20,23,1
Aaron Gray,4,C,SAC,187,10.3,31,2018,0.5,0.0,0.6,0.6,-2.2,0.5,0.5,0.0,2008,2014,7-0,270,1984,7,24,30,0
Aaron Harrison,2,SG,CHO,26,1.0,0,110,0.2,-0.2,0.0,-0.0,-8.6,0.1,0.1,0.2,2016,2017,6-6,210,1994,2,22,23,1
Aaron McKie,16,PG,LAL,947,11.7,330,22463,0.5,0.9,1.9,2.8,0.0,0.4,0.4,0.3,1995,2007,6-5,209,1972,13,23,35,0
Aaron Williams,11,PF,LAC,621,13.7,65,11138,0.5,1.2,1.3,2.5,-2.6,0.5,0.5,0.0,1994,2008,6-9,220,1971,15,23,37,0
Acie Earl,4,C,TOR,201,11.0,15,2761,0.5,-0.4,0.6,0.1,-6.6,0.4,0.4,0.0,1994,1997,6-10,240,1970,4,24,27,1
Acie Law,9,PG,GSW,265,11.1,9,3345,0.5,0.1,0.2,0.3,-5.2,0.4,0.5,0.2,2008,2011,6-3,195,1985,4,23,26,1
Adam Harrington,3,SG,DEN,38,6.4,0,222,0.4,-0.0,0.0,0.0,-8.0,0.3,0.3,0.4,2003,2003,6-5,200,1980,1,23,23,1
Adam Keefe,6,PF,GSW,399,11.4,22,6254,0.5,1.0,1.2,2.2,-1.1,0.5,0.5,0.1,1993,2001,6-9,230,1970,9,23,31,0
Adam Morrison,5,SF,LAL,213,5.9,33,3989,0.4,-0.7,0.4,-0.3,-6.2,0.4,0.4,0.3,2007,2010,6-8,205,1984,4,23,26,1
Adonal Foyle,2,C,GSW,137,12.2,1,2443,0.5,0.6,1.3,2.0,-2.0,0.5,0.5,0.0,1998,2009,6-10,250,1975,12,23,34,0
Adonis Jordan,2,PG,MIL,10,12.2,0,97,0.4,-0.0,0.0,-0.0,-5.9,0.4,0.6,0.2,1994,1999,5-11,170,1970,6,24,29,1
Adonis Thomas,3,SF,PHI,12,7.7,2,74,0.5,0.0,0.0,0.0,-9.8,0.5,0.6,0.2,2014,2014,6-7,200,1993,1,21,21,1
Adreian Payne,5,PF,MIN,134,7.7,46,2099,0.4,-0.4,0.2,-0.3,-6.6,0.4,0.4,0.1,2015,2018,6-10,237,1991,4,24,27,1
Adrian Branch,4,SF,MIN,130,15.4,7,1429,0.5,0.1,0.4,0.5,-3.4,0.4,0.5,0.4,1987,1990,6-7,185,1963,4,24,27,1
Adrian Caldwell,3,PF,NJN,105,7.1,0,1116,0.4,-0.3,0.4,0.1,-5.6,0.4,0.4,0.0,1990,1998,6-8,265,1966,9,24,32,0
Adrian Griffin,8,SF,CHI,442,10.8,177,7690,0.5,0.8,1.2,2.0,0.2,0.4,0.4,0.2,2000,2008,6-5,217,1974,9,26,34,0
Al Harrington,20,PF,WAS,1132,13.2,579,33118,0.5,1.1,1.5,2.5,-1.9,0.4,0.5,0.3,1999,2014,6-9,230,1980,16,19,34,0
Al Horford,10,C,BOS,646,19.1,642,21535,0.6,4.0,3.1,7.1,3.0,0.5,0.5,0.3,2008,2018,6-10,245,1986,11,22,32,0
Al Jefferson,11,C,IND,750,20.2,550,21779,0.5,2.8,2.6,5.3,-0.1,0.5,0.5,0.1,2005,2018,6-10,289,1985,14,20,33,0
Al Thornton,8,PF,GSW,442,12.0,236,11736,0.5,0.5,0.7,1.2,-3.8,0.5,0.5,0.2,2008,2011,6-8,220,1983,4,25,28,1
Al Wood,8,SG,DAL,465,13.2,251,10869,0.5,1.1,0.9,2.0,-2.7,0.4,0.5,0.2,1982,1987,6-6,193,1958,6,24,29,1
Al-Farouq Aminu,7,SF,POR,520,12.2,281,12520,0.5,0.5,2.0,2.5,-0.4,0.4,0.5,0.3,2011,2018,6-9,220,1990,8,21,28,0
Alaa Abdelnaby,4,PF,SAC,192,13.0,52,2452,0.5,0.0,0.7,0.8,-5.0,0.5,0.5,0.0,1991,1995,6-10,240,1968,5,23,27,1
Alan Anderson,8,SF,LAC,330,9.5,66,6793,0.5,0.5,0.5,0.9,-2.9,0.4,0.4,0.3,2006,2017,6-6,220,1982,12,24,35,0
Alan Hardy,1,SG,DET,38,10.5,0,310,0.5,0.0,0.2,0.2,-5.6,0.5,0.5,0.0,1981,1982,6-7,195,1957,2,24,25,1
Alan Henderson,8,PF,DAL,527,14.2,212,12262,0.5,1.6,1.4,3.0,-1.9,0.5,0.5,0.2,1996,2007,6-9,235,1972,12,24,35,0
Alan Ogg,1,C,MIA,31,7.4,1,261,0.5,-0.1,0.3,0.3,-4.2,0.4,0.5,0.0,1991,1993,7-2,240,1967,3,24,26,1
Alan Williams,1,C,PHO,47,19.5,0,708,0.5,1.1,0.9,2.1,-1.7,0.5,0.5,0.0,2016,2017,6-8,260,1993,2,23,24,1
Alando Tucker,4,SF,PHO,62,13.5,1,497,0.5,0.1,0.0,0.1,-7.5,0.4,0.5,0.2,2008,2010,6-6,205,1984,3,24,26,1
Albert King,9,SF,WSB,534,13.0,326,12836,0.5,0.2,1.6,1.8,-2.2,0.4,0.5,0.2,1982,1992,6-6,190,1959,11,23,33,0
Alec Burks,6,SG,UTA,301,13.4,42,6618,0.5,1.0,0.7,1.6,-2.4,0.4,0.4,0.4,2012,2018,6-6,214,1991,7,21,27,0
Alec Kessler,3,PF,MIA,133,10.6,20,1740,0.5,-0.3,0.5,0.3,-5.4,0.4,0.4,0.3,1991,1994,6-11,230,1967,4,24,27,1
Aleksandar Djordjevic,1,SG,POR,8,12.5,0,61,0.7,0.1,0.0,0.1,-3.8,0.5,0.3,0.7,1997,1997,6-2,198,1967,1,30,30,1
Alex Abrines,1,SG,OKC,68,10.1,6,1055,0.6,1.2,0.9,2.1,-2.5,0.4,0.4,0.4,2017,2018,6-6,190,1993,2,24,25,0
Alex Acker,4,SG,LAC,55,8.4,0,433,0.4,-0.1,0.0,-0.0,-6.8,0.4,0.4,0.2,2006,2009,6-5,185,1983,4,23,26,1
Alex Blackwell,1,SF,LAL,27,8.2,0,109,0.4,-0.1,0.1,0.0,-6.3,0.3,0.4,0.0,1993,1993,6-6,250,1970,1,23,23,1
Alex Bradley,1,SF,NYK,39,12.4,0,331,0.6,0.1,0.3,0.4,-3.9,0.5,0.5,0.0,1982,1982,6-6,215,1959,1,23,23,1
Alex Garcia,1,SG,NOH,8,8.4,3,146,0.4,-0.1,0.1,-0.1,-4.5,0.3,0.4,0.3,2004,2005,6-3,220,1980,2,24,25,1
Alex Len,3,C,PHO,224,13.6,124,4899,0.5,0.6,1.9,2.6,-2.1,0.5,0.5,0.2,2014,2018,7-1,260,1993,5,21,25,0
Alex Poythress,1,PF,PHI,6,13.2,1,157,0.5,0.2,0.1,0.3,-2.5,0.5,0.5,0.3,2017,2018,6-7,238,1993,2,24,25,0
Alex Stivrins,3,PF,ATL,34,15.6,0,126,0.5,-0.0,0.0,0.0,-9.1,0.5,0.6,0.0,1986,1993,6-8,220,1962,8,24,31,0
Alexander Volkov,2,C,ATL,149,13.7,31,2453,0.5,1.3,0.9,2.2,0.2,0.5,0.5,0.4,1990,1992,6-10,218,1964,3,26,28,1
Alexey Shved,6,SG,NYK,224,15.1,34,4038,0.5,0.4,0.5,0.9,-1.9,0.4,0.4,0.3,2013,2015,6-6,190,1988,3,25,27,1
Alexis Ajinca,7,C,NOP,253,12.2,70,3258,0.5,0.2,0.5,0.7,-4.0,0.5,0.5,0.2,2009,2017,7-2,248,1988,9,21,29,0
Alfredrick Hughes,1,SG,SAS,68,8.2,0,866,0.4,-1.0,0.5,-0.5,-6.5,0.4,0.4,0.2,1986,1986,6-5,215,1962,1,24,24,1
Allan Bristow,2,SF,DAL,119,11.4,54,2406,0.5,0.8,0.6,1.4,-2.0,0.4,0.4,0.3,1974,1983,6-7,210,1951,10,23,32,0
Allan Houston,12,SG,NYK,839,14.4,727,28311,0.5,2.9,1.7,4.6,-1.1,0.4,0.5,0.4,1994,2005,6-6,200,1971,12,23,34,0
Allan Ray,1,SG,BOS,47,10.0,5,710,0.5,0.1,0.5,0.6,-3.5,0.4,0.4,0.4,2007,2007,6-2,190,1984,1,23,23,1
Allen Crabbe,4,SG,POR,226,10.0,24,5142,0.5,1.7,0.8,2.4,-1.7,0.4,0.4,0.4,2014,2018,6-6,210,1992,5,22,26,0
Allen Leavell,8,SG,HOU,544,13.6,244,12439,0.5,1.6,1.4,3.0,-2.1,0.4,0.5,0.2,1980,1989,6-1,170,1957,10,23,32,0
Alonzo Gee,12,SF,DEN,522,10.7,249,10833,0.5,0.4,0.6,1.0,-2.0,0.4,0.5,0.3,2010,2017,6-6,225,1987,8,23,30,0
Alphonso Ford,2,SG,PHI,11,14.6,0,114,0.4,-0.2,0.0,-0.2,-6.7,0.4,0.4,0.5,1994,1995,6-1,190,1971,2,23,24,1
Alton Lister,7,C,MIL,459,12.7,326,10371,0.5,0.8,2.3,3.1,-0.4,0.5,0.5,0.1,1982,1998,7-0,240,1958,17,24,40,0
Alvan Adams,6,C,PHO,457,15.8,273,11633,0.5,1.5,2.8,4.3,2.0,0.5,0.5,0.1,1976,1988,6-9,210,1954,13,22,34,0
Alvin Robertson,12,SG,TOR,848,16.2,734,26675,0.5,1.8,2.8,4.6,3.6,0.5,0.5,0.3,1985,1996,6-3,185,1962,12,23,34,0
Alvin Scott,4,SF,PHO,304,9.8,70,4852,0.5,0.5,1.6,2.2,-1.2,0.5,0.5,0.2,1978,1985,6-7,185,1955,8,23,30,0
Alvin Sims,1,SG,PHO,4,10.9,0,25,0.5,-0.1,0.0,-0.1,-4.6,0.4,0.3,1.0,1999,1999,6-4,235,1974,1,25,25,1
Alvin Williams,11,PG,LAC,514,10.1,347,13681,0.4,1.1,1.0,2.1,-4.4,0.3,0.4,0.3,1998,2007,6-5,185,1974,10,24,33,0
Amal McCaskill,2,C,PHI,76,6.7,4,745,0.4,-0.2,0.4,0.2,-6.1,0.4,0.4,0.0,1997,2004,6-11,235,1973,8,24,31,0
Amar'e Stoudemire,13,PF,DAL,759,21.3,654,24589,0.6,4.6,2.1,6.7,-0.3,0.5,0.5,0.2,2003,2016,6-10,245,1982,14,21,34,0
Amir Johnson,10,PF,BOS,621,16.9,437,14948,0.6,2.7,1.7,4.4,2.5,0.6,0.6,0.3,2006,2018,6-9,240,1987,13,19,31,0
Anderson Varejao,13,C,CLE,644,15.5,208,15269,0.5,1.7,1.9,3.6,0.9,0.5,0.5,0.0,2005,2017,6-10,273,1982,13,23,35,0
Andrae Patterson,1,PF,MIN,35,14.5,0,284,0.5,0.2,0.5,0.7,-0.5,0.4,0.5,0.0,1999,2000,6-9,238,1975,2,24,25,1
Andray Blatche,9,PF,BRK,564,15.4,191,12462,0.5,0.6,1.5,2.1,-1.2,0.5,0.5,0.2,2006,2014,6-11,235,1986,9,20,28,0
Andre Barrett,7,PG,LAC,118,11.0,2,1555,0.5,-0.1,0.1,0.1,-5.2,0.4,0.4,0.2,2005,2008,5-10,172,1982,4,23,26,1
Andre Brown,1,PF,SEA,38,11.1,0,271,0.6,-0.2,0.2,0.0,-8.5,0.6,0.6,0.0,2007,2009,6-9,245,1981,3,26,28,1
Andre Drummond,5,C,DET,385,21.5,335,11439,0.5,3.1,4.2,7.2,0.8,0.6,0.6,0.2,2013,2018,6-11,279,1993,6,20,25,0
Andre Emmett,1,SF,NJN,6,13.3,0,45,0.6,0.1,0.0,0.1,-2.9,0.6,0.7,0.0,2005,2012,6-5,230,1982,8,23,30,0
Andre Iguodala,13,SF,GSW,976,15.7,759,33834,0.6,3.6,3.3,6.9,3.0,0.5,0.5,0.3,2005,2018,6-6,215,1984,14,21,34,0
Andre Miller,25,PG,SAS,1562,16.0,1024,45930,0.5,3.0,1.4,4.5,-0.1,0.5,0.5,0.2,2000,2016,6-3,200,1976,17,24,40,0
Andre Owens,2,PG,IND,54,7.6,9,602,0.5,-0.1,0.2,0.1,-5.9,0.4,0.4,0.3,2006,2008,6-4,200,1980,3,26,28,1
Andre Roberson,4,SF,OKC,256,9.5,230,5614,0.5,0.9,1.7,2.6,0.4,0.5,0.6,0.2,2014,2018,6-7,210,1991,5,23,27,0
Andre Spencer,2,SF,GSW,37,13.2,2,829,0.5,0.4,0.3,0.6,-1.7,0.5,0.5,0.0,1993,1994,6-6,210,1964,2,29,30,1
Andre Turner,7,PG,WSB,177,5.7,4,2625,0.4,-0.1,0.3,0.2,-8.5,0.3,0.4,0.1,1987,1992,5-11,160,1964,6,23,28,1
Andrea Bargnani,10,C,BRK,550,14.2,377,15806,0.5,1.0,0.9,1.9,-2.8,0.4,0.5,0.3,2007,2016,7-0,245,1985,10,22,31,0
Andrei Kirilenko,12,PF,BRK,790,18.4,546,23880,0.6,3.4,2.9,6.3,4.7,0.5,0.5,0.3,2002,2015,6-9,220,1981,14,21,34,0
Andres Guibert,1,PF,MIN,17,8.3,0,167,0.4,-0.2,0.2,-0.1,-5.6,0.3,0.4,0.0,1994,1995,6-10,225,1968,2,26,27,1
Andres Nocioni,10,SF,PHI,590,11.6,221,14004,0.5,0.8,1.6,2.5,-3.1,0.4,0.4,0.4,2005,2012,6-7,225,1979,8,26,33,0
Andrew Bogut,10,C,DAL,527,14.9,507,15618,0.5,1.3,2.3,3.6,1.5,0.5,0.5,0.2,2006,2018,7-0,260,1984,13,22,34,0
Andrew Bynum,3,C,LAL,207,19.5,178,5882,0.6,3.8,2.9,6.7,0.9,0.6,0.6,0.1,2006,2014,7-0,285,1987,9,19,27,0
Andrew DeClercq,2,C,BOS,103,12.6,50,1726,0.5,0.8,1.1,1.9,-0.6,0.5,0.5,0.0,1996,2005,6-10,230,1973,10,23,32,0
Andrew Gaze,2,SG,SAS,26,9.5,0,128,0.5,0.0,0.0,0.0,-2.9,0.4,0.4,0.4,1994,1999,6-7,205,1965,6,29,34,1
Andrew Goudelock,2,PG,HOU,48,10.4,0,469,0.5,-0.0,0.1,0.0,-5.1,0.4,0.6,0.2,2012,2016,6-3,200,1988,5,24,28,0
Andrew Harrison,1,PG,MEM,72,8.7,18,1474,0.5,0.0,1.5,1.6,-2.5,0.3,0.4,0.3,2017,2018,6-6,213,1994,2,23,24,0
Andrew Lang,9,C,MIL,580,11.5,349,14348,0.5,0.6,2.1,2.7,-1.8,0.5,0.5,0.2,1989,2000,6-11,245,1966,12,23,34,0
Andrew Nicholson,6,PF,BRK,248,8.7,8,3173,0.5,-0.1,0.5,0.3,-6.1,0.4,0.5,0.3,2013,2017,6-9,250,1989,5,24,28,0
Andrew Toney,7,SG,PHI,393,14.0,246,10840,0.5,2.3,1.3,3.5,-3.0,0.5,0.5,0.3,1981,1988,6-3,178,1957,8,24,31,0
Andrew Wiggins,3,SF,MIN,245,15.6,245,8862,0.5,2.9,0.5,3.5,-2.4,0.4,0.5,0.3,2015,2018,6-8,199,1995,4,20,23,1
Andris Biedrins,2,C,GSW,92,17.0,59,2247,0.6,2.0,1.4,3.3,1.4,0.6,0.6,0.0,2005,2014,6-11,240,1986,10,19,28,0
Andy Rautins,1,SG,NYK,5,-1.2,0,24,0.5,-0.2,0.0,-0.2,-16.0,0.4,0.7,0.2,2011,2011,6-4,190,1986,1,25,25,1
Andy Toolson,2,SF,UTA,60,6.4,15,523,0.5,0.0,0.2,0.3,-5.4,0.4,0.5,0.3,1991,1996,6-6,210,1966,6,25,30,1
Anfernee Hardaway,16,SF,MIA,780,14.6,571,25806,0.5,2.3,1.7,4.0,0.6,0.4,0.4,0.3,1994,2008,6-7,195,1971,15,23,37,0
Ansu Sesay,2,SF,GSW,73,13.9,2,711,0.5,0.4,0.2,0.5,-2.3,0.4,0.5,0.3,2002,2005,6-9,225,1976,4,26,29,1
Antawn Jamison,18,PF,LAC,1149,17.3,928,40044,0.5,3.8,1.4,5.2,-0.6,0.4,0.5,0.3,1999,2014,6-8,223,1976,16,23,38,0
Anthony Avent,1,PF,MIL,82,10.2,78,2285,0.5,-1.5,1.8,0.3,-4.6,0.4,0.4,0.0,1993,2000,6-9,235,1969,8,24,31,0
