group_id,Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3
1,A.C. Green,18,PF,MIA,1361.0,13.9,905.0,39044.0,0.5,3.4,2.4,5.8,-0.1,0.5,0.5,0.1
2,A.J. English,2,SG,WSB,151.0,11.6,18.0,3108.0,0.5,-0.2,0.7,0.6,-5.1,0.4,0.5,0.1
3,A.J. Guyton,3,PG,GSW,80.0,4.4,14.0,1246.0,0.3,0.1,-0.0,0.1,-11.0,0.3,0.3,0.3
4,A.J. Hammons,1,C,DAL,22.0,8.4,0.0,163.0,0.5,-0.2,0.2,0.0,-5.6,0.4,0.4,0.5
5,A.J. Price,9,PG,PHO,287.0,10.4,25.0,4253.0,0.4,0.1,0.4,0.6,-4.1,0.4,0.4,0.2
6,A.J. Wynder,1,PG,BOS,6.0,7.6,0.0,39.0,0.4,-0.1,0.0,0.0,-9.4,0.2,0.3,0.0
7,Aaron Brooks,15,PG,IND,797.0,12.3,226.0,17088.0,0.5,0.9,0.7,1.5,-2.6,0.4,0.4,0.4
8,Aaron Gordon,3,SF,ORL,205.0,14.3,117.0,4958.0,0.5,1.8,1.5,3.4,-0.6,0.5,0.5,0.3
9,Aaron Gray,4,C,SAC,187.0,10.3,31.0,2018.0,0.5,0.0,0.6,0.6,-2.2,0.5,0.5,0.0
10,Aaron Harrison,2,SG,CHO,26.0,1.0,0.0,110.0,0.2,-0.2,0.0,-0.0,-8.6,0.1,0.1,0.2
11,Aaron McKie,16,PG,LAL,947.0,11.7,330.0,22463.0,0.5,0.9,1.9,2.8,0.0,0.4,0.4,0.3
12,Aaron Williams,11,PF,LAC,621.0,13.7,65.0,11138.0,0.5,1.2,1.3,2.5,-2.6,0.5,0.5,0.0
13,Acie Earl,4,C,TOR,201.0,11.0,15.0,2761.0,0.5,-0.4,0.6,0.1,-6.6,0.4,0.4,0.0
14,Acie Law,9,PG,GSW,265.0,11.1,9.0,3345.0,0.5,0.1,0.2,0.3,-5.2,0.4,0.5,0.2
15,Adam Harrington,3,SG,DEN,38.0,6.4,0.0,222.0,0.4,-0.0,0.0,0.0,-8.0,0.3,0.3,0.4
16,Adam Keefe,6,PF,GSW,399.0,11.4,22.0,6254.0,0.5,1.0,1.2,2.2,-1.1,0.5,0.5,0.1
17,Adam Morrison,5,SF,LAL,213.0,5.9,33.0,3989.0,0.4,-0.7,0.4,-0.3,-6.2,0.4,0.4,0.3
18,Adonal Foyle,2,C,GSW,137.0,12.2,1.0,2443.0,0.5,0.6,1.3,2.0,-2.0,0.5,0.5,0.0
19,Adonis Jordan,2,PG,MIL,10.0,12.2,0.0,97.0,0.4,-0.0,0.0,-0.0,-5.9,0.4,0.6,0.2
20,Adonis Thomas,3,SF,PHI,12.0,7.7,2.0,74.0,0.5,0.0,0.0,0.0,-9.8,0.5,0.6,0.2
21,Adreian Payne,5,PF,MIN,134.0,7.7,46.0,2099.0,0.4,-0.4,0.2,-0.3,-6.6,0.4,0.4,0.1
22,Adrian Branch,4,SF,MIN,130.0,15.4,7.0,1429.0,0.5,0.1,0.4,0.5,-3.4,0.4,0.5,0.4
23,Adrian Caldwell,3,PF,NJN,105.0,7.1,0.0,1116.0,0.4,-0.3,0.4,0.1,-5.6,0.4,0.4,0.0
24,Adrian Dantley*,9,SF,MIL,545.0,19.2,503.0,18759.0,0.6,6.7,1.4,8.0,1.1,0.5,0.5,0.1
25,Adrian Griffin,8,SF,CHI,442.0,10.8,177.0,7690.0,0.5,0.8,1.2,2.0,0.2,0.4,0.4,0.2
26,Al Harrington,20,PF,WAS,1132.0,13.2,579.0,33118.0,0.5,1.1,1.5,2.5,-1.9,0.4,0.5,0.3
27,Al Horford,10,C,BOS,646.0,19.1,642.0,21535.0,0.6,4.0,3.1,7.1,3.0,0.5,0.5,0.3
28,Al Jefferson,11,C,IND,750.0,20.2,550.0,21779.0,0.5,2.8,2.6,5.3,-0.1,0.5,0.5,0.1
29,Al Thornton,8,PF,GSW,442.0,12.0,236.0,11736.0,0.5,0.5,0.7,1.2,-3.8,0.5,0.5,0.2
30,Al Wood,8,SG,DAL,465.0,13.2,251.0,10869.0,0.5,1.1,0.9,2.0,-2.7,0.4,0.5,0.2
31,Al-Farouq Aminu,7,SF,POR,520.0,12.2,281.0,12520.0,0.5,0.5,2.0,2.5,-0.4,0.4,0.5,0.3
32,Alaa Abdelnaby,4,PF,SAC,192.0,13.0,52.0,2452.0,0.5,0.0,0.7,0.8,-5.0,0.5,0.5,0.0
33,Alan Anderson,8,SF,LAC,330.0,9.5,66.0,6793.0,0.5,0.5,0.5,0.9,-2.9,0.4,0.4,0.3
34,Alan Hardy,1,SG,DET,38.0,10.5,0.0,310.0,0.5,0.0,0.2,0.2,-5.6,0.5,0.5,0.0
35,Alan Henderson,8,PF,DAL,527.0,14.2,212.0,12262.0,0.5,1.6,1.4,3.0,-1.9,0.5,0.5,0.2
36,Alan Ogg,1,C,MIA,31.0,7.4,1.0,261.0,0.5,-0.1,0.3,0.3,-4.2,0.4,0.5,0.0
37,Alan Williams,1,C,PHO,47.0,19.5,0.0,708.0,0.5,1.1,0.9,2.1,-1.7,0.5,0.5,0.0
38,Alando Tucker,4,SF,PHO,62.0,13.5,1.0,497.0,0.5,0.1,0.0,0.1,-7.5,0.4,0.5,0.2
39,Albert King,9,SF,WSB,534.0,13.0,326.0,12836.0,0.5,0.2,1.6,1.8,-2.2,0.4,0.5,0.2
40,Alec Burks,6,SG,UTA,301.0,13.4,42.0,6618.0,0.5,1.0,0.7,1.6,-2.4,0.4,0.4,0.4
41,Alec Kessler,3,PF,MIA,133.0,10.6,20.0,1740.0,0.5,-0.3,0.5,0.3,-5.4,0.4,0.4,0.3
42,Aleksandar Djordjevic,1,SG,POR,8.0,12.5,0.0,61.0,0.7,0.1,0.0,0.1,-3.8,0.5,0.3,0.7
43,Alex Abrines,1,SG,OKC,68.0,10.1,6.0,1055.0,0.6,1.2,0.9,2.1,-2.5,0.4,0.4,0.4
44,Alex Acker,4,SG,LAC,55.0,8.4,0.0,433.0,0.4,-0.1,0.0,-0.0,-6.8,0.4,0.4,0.2
45,Alex Blackwell,1,SF,LAL,27.0,8.2,0.0,109.0,0.4,-0.1,0.1,0.0,-6.3,0.3,0.4,0.0
46,Alex Bradley,1,SF,NYK,39.0,12.4,0.0,331.0,0.6,0.1,0.3,0.4,-3.9,0.5,0.5,0.0
47,Alex English*,10,SF,DAL,811.0,20.1,753.0,27673.0,0.5,6.0,1.5,7.5,1.4,0.5,0.5,0.2
48,Alex Garcia,1,SG,NOH,8.0,8.4,3.0,146.0,0.4,-0.1,0.1,-0.1,-4.5,0.3,0.4,0.3
49,Alex Len,3,C,PHO,224.0,13.6,124.0,4899.0,0.5,0.6,1.9,2.6,-2.1,0.5,0.5,0.2
