Unnamed: 0,Year,Player,Pos,Tm,G,GS,MP,PER,TS%,OWS,DWS,WS,BPM,FG%,3P%,2P%
6449,1982,Kareem Abdul-Jabbar*,C,LAL,76,76,2677,23.4,0.608,6.9,3.9,10.7,4.3,0.579,0.0,0.58
6450,1982,Alvan Adams,C,PHO,79,75,2393,18.6,0.529,2.5,4.7,7.2,3.7,0.494,0.0,0.494
6451,1982,Mark Aguirre,SF,DAL,51,20,1468,17.3,0.514,1.0,0.8,1.9,0.1,0.465,0.352,0.475
6452,1982,Danny Ainge,SG,BOS,53,1,564,10.1,0.439,-0.3,0.8,0.5,-2.6,0.357,0.294,0.363
6453,1982,Tiny Archibald*,PG,BOS,68,51,2167,14.3,0.542,3.4,1.8,5.2,-2.5,0.472,0.375,0.475
6459,1982,Greg Ballard,SF,WSB,79,79,2946,17.9,0.519,4.1,5.3,9.4,3.5,0.475,0.409,0.476
6460,1982,Gene Banks,SF,SAS,80,4,1700,14.7,0.515,1.9,1.6,3.5,0.3,0.477,0.0,0.483
6461,1982,Mike Bantom,SF,TOT,82,38,2016,12.7,0.505,0.2,2.7,2.9,-1.1,0.469,0.333,0.47
6462,1982,Mike Bantom,SF,IND,39,37,1037,12.6,0.484,-0.3,1.4,1.0,-1.4,0.438,0.333,0.439
6463,1982,Mike Bantom,SF,PHI,43,1,979,12.7,0.533,0.6,1.3,1.9,-0.7,0.51,0.333,0.512
6464,1982,Billy Ray,SG,POR,75,0,1229,17.8,0.53,1.8,0.6,2.4,-3.2,0.473,0.293,0.484
6466,1982,Kent Benson,C,DET,75,72,2467,14.4,0.539,2.2,3.0,5.2,1.3,0.505,0.273,0.508
6467,1982,Larry Bird*,PF,BOS,77,58,2923,22.6,0.557,6.8,5.7,12.5,7.5,0.503,0.212,0.514
6468,1982,Otis Birdsong,SG,NJN,37,22,1025,13.3,0.489,0.5,1.1,1.6,-2.1,0.469,0.0,0.479
6469,1982,Rolando Blackman,SG,DAL,82,16,1979,16.2,0.559,3.2,0.8,4.1,-1.6,0.513,0.25,0.515
6470,1982,Ray Blume,SG,CHI,49,2,546,9.7,0.482,-0.5,0.3,-0.1,-5.9,0.459,0.222,0.48
6471,1982,Alex Bradley,SF,NYK,39,0,331,12.4,0.552,0.1,0.3,0.4,-3.9,0.524,0.0,0.529
6472,1982,Charles Bradley,SG,BOS,51,1,339,8.9,0.509,-0.2,0.4,0.2,-4.8,0.451,0.0,0.455
6473,1982,Dudley Bradley,SG,PHO,64,3,937,10.9,0.5,-0.3,1.7,1.4,-1.4,0.445,0.25,0.448
6475,1982,Mike Bratz,PG,SAS,81,3,1616,14.2,0.495,1.5,1.2,2.7,-1.2,0.407,0.333,0.431
6476,1982,Jim Brewer,PF,LAL,71,9,966,10.1,0.464,0.4,1.4,1.8,0.1,0.463,0.167,0.473
6477,1982,Ron Brewer,SG,TOT,72,45,2319,15.9,0.519,2.6,0.7,3.3,-1.3,0.477,0.258,0.482
6478,1982,Ron Brewer,SG,SAS,25,4,595,21.5,0.555,1.5,0.4,2.0,0.5,0.504,0.3,0.51
6479,1982,Ron Brewer,SG,CLE,47,41,1724,14.0,0.502,1.0,0.3,1.3,-1.9,0.465,0.238,0.47
6480,1982,Junior Bridgeman,SF,MIL,41,4,924,16.0,0.534,1.4,1.2,2.6,-0.9,0.483,0.444,0.483
6481,1982,Allan Bristow,SF,DAL,82,54,2035,12.6,0.502,1.3,1.2,2.5,-0.6,0.437,0.167,0.447
6482,1982,Jim Brogan,SG,SDC,63,19,1027,13.0,0.499,0.6,0.2,0.8,-1.6,0.453,0.281,0.47
6483,1982,Michael Brooks,SF,SDC,82,73,2750,16.1,0.539,3.4,1.2,4.5,1.0,0.504,0.0,0.507
6484,1982,Fred Brown,SG,SEA,82,2,1785,15.2,0.501,1.7,2.2,3.9,-1.5,0.455,0.325,0.468
6486,1982,Joe Bryant,SF,SDC,75,49,1988,12.8,0.546,1.0,0.5,1.5,-1.7,0.486,0.267,0.496
6487,1982,Quinn Buckner,PG,MIL,70,70,2156,14.4,0.506,0.7,3.9,4.6,1.6,0.482,0.267,0.486
6488,1982,Roger Burkman,SG,CHI,6,0,30,15.5,0.377,0.0,0.1,0.1,7.1,0.0,0.0,0.0
6492,1982,Don Buse,PG,IND,82,78,2529,14.8,0.539,3.7,3.4,7.1,2.6,0.455,0.386,0.482
6493,1982,Kenny Carr,PF,TOT,74,48,1926,14.7,0.543,1.3,1.6,2.9,-1.6,0.503,0.1,0.509
6494,1982,Kenny Carr,PF,CLE,46,42,1482,15.3,0.554,1.1,1.2,2.3,-0.8,0.517,0.111,0.524
6495,1982,Kenny Carr,PF,DET,28,6,444,12.7,0.507,0.1,0.4,0.6,-4.2,0.458,0.0,0.461
6496,1982,M.L. Carr,SF,BOS,56,27,1296,11.9,0.495,1.0,1.8,2.8,0.8,0.45,0.294,0.457
6497,1982,Joe Barry,C,GSW,76,75,2627,15.9,0.557,2.6,2.9,5.5,-0.6,0.519,0.0,0.519
6498,1982,Butch Carter,SG,IND,75,0,1035,11.1,0.511,0.3,0.9,1.3,-3.8,0.468,0.32,0.477
6502,1982,Bobby Cattage,PF,UTA,49,0,337,10.5,0.49,0.1,0.1,0.2,-8.4,0.444,0.0,0.451
6503,1982,Tom Chambers,PF,SDC,81,58,2682,15.0,0.553,2.9,0.4,3.3,-1.4,0.525,0.0,0.526
6504,1982,Maurice Cheeks,PG,PHI,79,79,2498,18.3,0.57,4.6,4.0,8.6,3.3,0.521,0.273,0.529
6506,1982,Don Collins,SG,WSB,79,18,1609,15.1,0.543,0.9,2.5,3.4,1.5,0.511,0.083,0.52
6507,1982,Darwin Cook,PG,NJN,82,17,2090,13.7,0.514,0.7,3.2,3.9,-0.1,0.482,0.226,0.492
6508,1982,Jeff Cook,PF,PHO,76,22,1298,10.2,0.469,0.0,2.0,2.0,-2.0,0.422,0.0,0.424
6510,1982,Michael Cooper,SG,LAL,76,14,2197,14.3,0.556,2.4,2.6,5.0,1.2,0.517,0.118,0.526
6511,1982,Wayne Cooper,C,DAL,76,38,1818,13.8,0.461,0.9,1.9,2.9,-0.6,0.42,0.125,0.424
6513,1982,Dave Corzine,C,SAS,82,21,2189,14.9,0.561,2.6,2.5,5.2,1.4,0.519,0.25,0.52
6514,1982,Charlie Criss,PG,TOT,55,20,1392,13.3,0.524,1.6,0.4,2.1,-3.0,0.446,0.345,0.452
6515,1982,Charlie Criss,PG,ATL,27,0,552,13.6,0.485,0.4,0.6,1.0,-2.5,0.4,0.25,0.406
6516,1982,Charlie Criss,PG,SDC,28,20,840,13.1,0.552,1.2,-0.2,1.1,-3.4,0.479,0.381,0.487
6518,1982,Pat Cummings,PF,MIL,78,7,1132,11.1,0.537,0.1,1.7,1.8,-3.3,0.509,0.0,0.512
6519,1982,Earl Cureton,PF,PHI,66,8,956,12.8,0.502,0.6,1.5,2.1,-2.4,0.487,0.0,0.49
6521,1982,Adrian Dantley*,SF,UTA,81,81,3222,24.2,0.631,11.9,0.7,12.6,4.6,0.57,0.333,0.57
6522,1982,Brad Davis,PG,DAL,82,82,2614,14.5,0.569,4.4,1.0,5.4,-0.8,0.515,0.286,0.53
6523,1982,Charles Davis,SF,WSB,54,10,575,10.7,0.514,0.0,0.8,0.9,-2.3,0.478,0.0,0.484
6524,1982,Johnny Davis,SG,IND,82,70,2664,15.2,0.526,3.0,2.1,5.1,-1.2,0.467,0.185,0.473
6526,1982,Walter Davis,SF,PHO,55,12,1182,18.3,0.553,1.2,1.4,2.7,-1.2,0.523,0.188,0.531
6527,1982,Darryl Dawkins,C,PHI,48,36,1124,15.0,0.601,1.1,1.8,2.9,-0.9,0.564,0.0,0.567
6528,1982,Larry Demic,PF,NYK,48,0,356,5.7,0.459,-0.4,0.2,-0.1,-6.6,0.47,0.0,0.476
6530,1982,Coby Dietrick,C,CHI,74,0,999,10.8,0.496,0.5,1.1,1.7,0.3,0.46,0.0,0.462
6531,1982,Mickey Dillard,PG,CLE,33,0,221,7.0,0.41,-0.3,0.0,-0.2,-7.4,0.367,0.0,0.387
6533,1982,John Douglas,SG,SDC,64,9,1031,12.1,0.515,0.3,0.2,0.5,-3.3,0.465,0.305,0.494
6535,1982,John Drew,SF,ATL,70,51,2040,18.1,0.553,3.2,2.4,5.5,-0.1,0.486,0.333,0.488
6536,1982,Larry Drew,PG,KCK,81,19,1973,15.3,0.52,1.3,1.7,3.0,-1.4,0.473,0.296,0.479
6537,1982,Terry Duerod,SG,BOS,21,0,146,12.5,0.438,0.1,0.1,0.2,-4.8,0.442,0.0,0.447
6538,1982,Mike Dunleavy,SG,HOU,70,15,1315,13.2,0.524,1.8,0.7,2.6,-1.8,0.458,0.384,0.475
6539,1982,T.R. Dunn,SG,DEN,82,80,2519,12.1,0.559,2.9,1.1,4.0,2.3,0.512,0.0,0.513
6540,1982,John Duren,PG,UTA,79,9,1056,7.0,0.478,-0.3,0.0,-0.3,-6.5,0.451,0.273,0.459
6541,1982,Craig Dykema,SF,PHO,32,0,103,11.1,0.525,0.1,0.1,0.2,-4.6,0.459,0.5,0.455
6542,1982,Franklin Edwards,PG,PHI,42,3,291,13.7,0.463,-0.1,0.4,0.2,-3.7,0.433,0.0,0.461
6543,1982,James Edwards,C,CLE,77,75,2539,15.8,0.545,3.0,1.3,4.3,-0.6,0.511,0.0,0.513
6545,1982,Alex English*,SF,DEN,82,82,3015,22.2,0.596,8.9,0.6,9.5,4.1,0.551,0.0,0.553
6546,1982,Julius Erving*,SF,PHI,81,81,2789,25.9,0.593,8.7,4.6,13.3,7.8,0.546,0.273,0.548
6547,1982,Mike Evans,PG,TOT,22,0,270,7.3,0.438,-0.4,0.3,-0.1,-5.5,0.407,0.0,0.438
6548,1982,Mike Evans,PG,MIL,14,0,196,7.2,0.498,-0.1,0.2,0.2,-4.8,0.471,0.0,0.49
6549,1982,Mike Evans,PG,CLE,8,0,74,7.5,0.35,-0.3,0.0,-0.2,-7.2,0.314,0.0,0.355
6551,1982,Chris Ford,SG,BOS,76,53,1591,7.8,0.458,0.7,1.4,2.1,-2.1,0.418,0.317,0.434
6552,1982,Don Ford,SF,CLE,21,1,201,3.7,0.432,-0.2,0.1,-0.1,-4.4,0.375,0.0,0.391
6553,1982,Phil Ford,PG,KCK,72,65,1952,11.4,0.494,-0.2,1.1,0.9,-4.9,0.439,0.219,0.451
6554,1982,World B.,SG,GSW,78,78,2796,18.2,0.515,5.6,1.3,6.9,0.1,0.448,0.179,0.458
6555,1982,Mike Gale,PG,GSW,75,70,1793,10.9,0.524,0.3,2.1,2.4,0.5,0.496,0.0,0.503
6556,1982,Calvin Garrett,SF,HOU,51,22,858,8.4,0.454,0.0,0.6,0.6,-2.8,0.434,0.3,0.44
6557,1982,George Gervin*,SG,SAS,79,79,2817,24.2,0.562,8.7,2.0,10.7,1.7,0.5,0.278,0.504
6558,1982,Artis Gilmore*,C,CHI,82,82,2796,22.4,0.702,8.3,3.8,12.1,4.5,0.652,1.0,0.652
6559,1982,Mike Glenn,SG,ATL,49,0,833,16.0,0.587,2.0,0.8,2.8,-0.5,0.543,0.5,0.543
6561,1982,Glen Gondrezick,SF,DEN,80,0,1699,14.9,0.559,2.6,1.0,3.6,1.4,0.505,0.0,0.508
6562,1982,Rickey Green,PG,UTA,81,73,2822,17.4,0.531,4.3,1.4,5.7,0.8,0.493,0.0,0.497
6563,1982,Dave Greenwood,PF,CHI,82,82,2914,15.5,0.525,3.2,3.2,6.5,1.4,0.473,0.0,0.475
6564,1982,Kevin Grevey,SG,WSB,71,62,2164,11.7,0.502,1.2,2.4,3.6,-1.2,0.439,0.341,0.449
6566,1982,Darrell Griffith,SG,UTA,80,79,2597,15.8,0.511,1.4,0.7,2.1,-2.4,0.482,0.288,0.489
6567,1982,Bob Gross,SF,POR,59,24,1377,13.8,0.581,1.5,1.6,3.1,2.5,0.537,0.5,0.538
