solo_competitive_rank,rank_tier,competitive_rank,mmr_estimate,leaderboard_rank,account_id,personaname,name,plus,cheese,steamid,avatar,avatarmedium,avatarfull,profileurl,last_login,loccountrycode,status,is_contributor,is_subscriber
,80.0,,{'estimate': 4946},2762.0,72253508,pudge,,False,0,76561198032519236,https://avatars.steamstatic.com/0368bba8f5e50ad318aa340652d16f3258f9da47.jpg,https://avatars.steamstatic.com/0368bba8f5e50ad318aa340652d16f3258f9da47_medium.jpg,https://avatars.steamstatic.com/0368bba8f5e50ad318aa340652d16f3258f9da47_full.jpg,https://steamcommunity.com/profiles/76561198032519236/,,,,False,False
,80.0,,{'estimate': 4799},198.0,248741969,仙人掌兽,,False,0,76561198209007697,https://avatars.steamstatic.com/fb2dd9843b7115b0808fb98f4d20d52735859b87.jpg,https://avatars.steamstatic.com/fb2dd9843b7115b0808fb98f4d20d52735859b87_medium.jpg,https://avatars.steamstatic.com/fb2dd9843b7115b0808fb98f4d20d52735859b87_full.jpg,https://steamcommunity.com/profiles/76561198209007697/,,CN,,False,False
,80.0,,{'estimate': 4953},3732.0,143163497,狗脑壳。,,False,0,76561198103429225,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcommunity.com/profiles/76561198103429225/,,,,False,False
,80.0,,{'estimate': 4440},4929.0,331776191,雷神,,False,0,76561198292041919,https://avatars.steamstatic.com/1b08895661b1d4b142847a453ca59d825800fa40.jpg,https://avatars.steamstatic.com/1b08895661b1d4b142847a453ca59d825800fa40_medium.jpg,https://avatars.steamstatic.com/1b08895661b1d4b142847a453ca59d825800fa40_full.jpg,https://steamcommunity.com/id/LACACHICA/,,PH,,False,False
3394.0,80.0,2947.0,{'estimate': 3813},,411632574,Geekin',,False,0,76561198371898302,https://avatars.steamstatic.com/35355a0470f4e4ee6e1dfa00776d1d0d9489d183.jpg,https://avatars.steamstatic.com/35355a0470f4e4ee6e1dfa00776d1d0d9489d183_medium.jpg,https://avatars.steamstatic.com/35355a0470f4e4ee6e1dfa00776d1d0d9489d183_full.jpg,https://steamcommunity.com/profiles/76561198371898302/,,RU,,False,False
,,,{'estimate': 3854},,561775571,Kyle Dexter,,False,0,76561198522041299,https://avatars.steamstatic.com/425d9ed1e78cee5eed6e83d400e315adf813677d.jpg,https://avatars.steamstatic.com/425d9ed1e78cee5eed6e83d400e315adf813677d_medium.jpg,https://avatars.steamstatic.com/425d9ed1e78cee5eed6e83d400e315adf813677d_full.jpg,https://steamcommunity.com/profiles/76561198522041299/,2018-06-08T12:03:55.275Z,DE,,False,False
6344.0,80.0,,{'estimate': 5277},,245893777,Al,,False,0,76561198206159505,https://avatars.steamstatic.com/8169030d997917fcfad4df8a9394b92df2566c7c.jpg,https://avatars.steamstatic.com/8169030d997917fcfad4df8a9394b92df2566c7c_medium.jpg,https://avatars.steamstatic.com/8169030d997917fcfad4df8a9394b92df2566c7c_full.jpg,https://steamcommunity.com/profiles/76561198206159505/,,SG,,False,False
4009.0,41.0,4335.0,{'estimate': 3487},,175508169,THE WORST ONE,,True,0,76561198135773897,https://avatars.steamstatic.com/7df848cd998d46f311e45c840c231b0ac5d8e051.jpg,https://avatars.steamstatic.com/7df848cd998d46f311e45c840c231b0ac5d8e051_medium.jpg,https://avatars.steamstatic.com/7df848cd998d46f311e45c840c231b0ac5d8e051_full.jpg,https://steamcommunity.com/id/548978782545/,,UA,,False,False
,80.0,,{'estimate': 4581},2192.0,111348444,Friday,,False,0,76561198071614172,https://avatars.steamstatic.com/7429bdc6618b019bd6628917dc7f2ea510c75037.jpg,https://avatars.steamstatic.com/7429bdc6618b019bd6628917dc7f2ea510c75037_medium.jpg,https://avatars.steamstatic.com/7429bdc6618b019bd6628917dc7f2ea510c75037_full.jpg,https://steamcommunity.com/id/uunuu04/,,KR,,False,False
6037.0,80.0,5127.0,{'estimate': 4394},822.0,130650420,点点的逆袭,,True,0,76561198090916148,https://avatars.steamstatic.com/53b6cba263c29cfef4e45235617edf546c8ebe2f.jpg,https://avatars.steamstatic.com/53b6cba263c29cfef4e45235617edf546c8ebe2f_medium.jpg,https://avatars.steamstatic.com/53b6cba263c29cfef4e45235617edf546c8ebe2f_full.jpg,https://steamcommunity.com/profiles/76561198090916148/,2016-02-09T01:25:27.862Z,CN,,False,False
